5309019,592829,9056922,4586886,9287931,8362422
6091509,6000721,9289488,5614701,9123039,1956618
4134500,1031780,3736070,5742300,524069,7769722
6079298,5949438,8335104,3342233,4893366,8205070
3012912,7988047,8446166,3231527,1479538,9201534
2429191,6476038,5824156,2432395,6167653,3918008
9571391,4583227,2126139,7341131,8115293,6708886
727458,2027096,3990467,1589830,2528332,4066806
3347063,1980685,5888636,1182213,9315251,9227461
1827721,1389738,2149888,8214117,932078,4965957
6693079,6690750,994465,2785037,1273577,4043816
7748175,6640761,7516243,6718936,2351176,3332529
529390,4562552,409533,8620285,8417243,9247877
1151108,5902908,3116125,5207873,7277071,2574345
2970012,3127631,1333962,1946943,8327337,6084010
5833656,6221391,745375,4519614,6057269,2242119
5523626,4607092,3019913,9253933,8058996,2644546
5015348,9027197,890969,2305295,4704117,4432363
3946361,4638063,7363080,306682,7040570,8041853
116817,2636618,2174569,2634611,4899392,1451725
7396875,2217494,3877950,6860282,6666034,7075774
6739969,9491549,3014583,725475,1525302,1873621
4403972,2501548,6032656,7205209,4880039,6702831
6049348,1460668,3903814,5682094,7876,5189403
1776263,6843067,314463,6931665,8267702,5987195
3688394,1160987,1747384,9326123,9655694,9546065
4938010,9700418,1301093,2268273,1354780,4632566
3561401,9619553,4467057,7444697,3189207,1452220
4110022,5626234,7472622,6149142,9091854,2927604
5599256,3970942,7385968,5131807,3160960,650222
8413434,6960296,374965,6127388,3582540,7580951
2405384,9058704,3212106,3147035,9084112,6367185
5414351,9607355,3612033,9797945,808286,9997385
7952784,7700249,9594791,8369919,8576343,3588182
3740438,8638065,3320352,2658973,4267161,7040399
5303412,338616,2204265,4159984,5285433,4906987
8868467,1803978,3887970,8254461,6316944,2705588
8071845,928527,81067,2909854,11679,8465252
4860123,7470735,9577825,8293893,4227368,4833026
8492146,3073782,9670120,8907260,3536242,7523366
7382230,914962,3655260,6695553,6884120,3817915
1434689,1994542,8063945,8186010,8198513,1768255
563359,2381798,3810175,1947697,5230418,1661779
7333739,8308713,6442080,1735466,4742695,1081521
2247133,3088407,2989569,5679176,4133238,4277100
3710870,7183883,2132714,8800436,8838633,4308534
4758296,7298542,2796054,9693149,6198049,8398564
6353212,7106512,7152550,1170976,7023351,9144591
6003141,8106960,2201644,2445124,2505036,2757524
4308265,1604386,2376188,5289735,150457,1754894
9161894,3637139,3487436,2777299,8425023,4867639
8954325,4568051,7078893,9460306,616613,4260719
1881977,1429073,990363,3117124,3684462,4531711
672563,4701971,4473003,50254,4252083,1852159
2946884,9712284,6559896,1899692,4943045,6149506
4087246,885078,7708614,4443282,9769989,3670784
7198986,6797540,5622917,2628803,4195520,8355864
7478272,4659861,8690241,8514912,73255,1515702
7754393,7644836,8896536,2069710,8008348,5849276
5085383,8881311,6386074,7277944,7575177,6160548
2981515,6897932,8495079,4059121,9237572,2027900
9284064,4027822,1868972,2780977,9717624,2188874
2616079,4186908,5276431,9538549,9191708,3097475
9396607,4930690,8106682,8709642,7094098,8136920
4795089,7215248,9836893,5555634,7609544,9963644
4190363,5726182,8672854,3015004,5495153,3212886
7400222,7976968,7304032,4726237,5484050,7524378
6109303,807030,4597776,38051,8969342,3724129
5553462,3279452,6143802,6454722,9926327,7990303
7415964,3444108,8731298,214265,9188982,3997256
6977146,6004232,3705302,1482755,1582776,4735763
5538980,2165518,1452331,4853859,4978420,438558
6435417,2005802,2024328,3978116,3626089,8998130
2351744,5908251,2843865,9511429,5525368,4532688
6156514,9387351,6085975,5469823,7640667,1425143
2210041,4453575,5168630,5553884,5656137,7011453
5605983,8656622,9163773,6098219,3779479,320888
8232034,2875771,9435309,9216309,338163,3624297
6484968,8388574,4127385,5535815,8360964,9111228
5117352,1373267,8129155,6849501,3110806,1153460
24324,5702670,5710150,8575614,4979684,9871491
9922154,968471,621800,8823491,2071045,4887276
2487565,741706,7345187,7025509,1907405,7001885
6466882,5978327,5859177,8213163,2482900,2903674
7108312,9327263,5103189,5140302,6604358,6373502
3723217,317303,8512724,8961538,2244083,4927177
